year,model,displ,cyl,trans,drive,fuel,cert_region,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
2023,BMW 330i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,24,33,27,5,No,322
2023,BMW 430i Convertible,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,25,34,28,6,No,313
2023,BMW 430i Convertible,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,25,34,28,6,No,313
2023,BMW 430i Convertible,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,327
2023,BMW 430i Convertible,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,327
2023,BMW 430i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,25,34,28,6,No,313
2023,BMW 430i Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,25,34,28,6,No,313
2023,BMW 430i Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,327
2023,BMW 430i Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,327
2023,BMW 430i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,25,34,28,6,No,313
2023,BMW 430i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,25,34,28,6,No,313
2023,BMW 430i Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,329
2023,BMW 430i Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,329
2023,BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0H30,small car,7,44,50,46,8,Yes,179
2023,BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0H30,small car,7,44,50,46,8,Yes,179
2023,BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0H30,small car,7,40,47,43,8,Yes,203
2023,BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0H30,small car,7,40,47,43,8,Yes,203
2023,BMW 530i,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,midsize car,7,25,33,28,6,No,313
2023,BMW 530i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,midsize car,7,25,33,28,6,No,313
2023,BMW 530i,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,midsize car,7,23,32,26,5,No,332
2023,BMW 530i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,midsize car,7,23,32,26,5,No,332
2023,BMW 540i,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PBMXJ03.0G2X,midsize car,5,25,32,27,5,No,322
2023,BMW 540i,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PBMXJ03.0G2X,midsize car,5,25,32,27,5,No,322
2023,BMW 540i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PBMXJ03.0G2X,midsize car,5,22,29,25,5,No,352
2023,BMW 540i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PBMXJ03.0G2X,midsize car,5,22,29,25,5,No,352
2023,BMW 840i Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV03.0B07,small car,3,21,29,24,5,No,374
2023,BMW 840i Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV03.0B07,small car,3,21,29,24,5,No,374
2023,BMW 840i Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV03.0B07,small car,3,21,29,24,5,No,373
2023,BMW 840i Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV03.0B07,small car,3,21,29,24,5,No,373
2023,BMW 840i Gran Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV03.0B07,midsize car,3,21,29,24,5,No,374
2023,BMW 840i Gran Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV03.0B07,midsize car,3,21,29,24,5,No,374
2023,BMW 840i xDrive Convertible,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV03.0B07,small car,3,21,29,24,5,No,373
2023,BMW 840i xDrive Convertible,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV03.0B07,small car,3,21,29,24,5,No,373
2023,BMW 840i xDrive Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV03.0B07,small car,3,21,29,24,5,No,373
2023,BMW 840i xDrive Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV03.0B07,small car,3,21,29,24,5,No,373
2023,BMW 840i xDrive Gran Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV03.0B07,midsize car,3,21,29,24,5,No,373
2023,BMW 840i xDrive Gran Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV03.0B07,midsize car,3,21,29,24,5,No,373
2023,BMW ALPINA B8 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXJ04.4N63,midsize car,3,17,24,19,4,No,457
2023,BMW ALPINA B8 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXJ04.4N63,midsize car,3,17,24,19,4,No,457
2023,BMW M240i Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PBMXV03.0B5X,small car,5,22,32,26,5,No,343
